"","RT","RT_bl","RT_tot","acc_bl","acc_tot","answer_debrief_1","answer_debrief_2","answer_debrief_3","answer_debrief_4","background","bidi","blink_onset","block_cnt","block_type","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","count_block_loop","count_block_seq","count_block_settings","count_check_session","count_drift_correct","count_end_loop","count_end_seq","count_exp_settings","count_experiment","count_feedback","count_instructions","count_log_variables","count_logger","count_new_inline_script","count_new_pygaze_drift_correct","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_pygaze","count_start_recording","count_stop_recording","count_test_location","count_trial","count_trial_loop","count_trial_seq","d_eye","datetime","description","disable_garbage_collection","dist_color","dist_high","dist_loc","dist_shape","empty_column","experiment_file","experiment_path","eye_threshold_length","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","high_loc","high_prob_loc","keyboard_backend","live_row","live_row_block_loop","live_row_trial_loop","logfile","mouse_backend","nr_blinks","nr_trials","nr_trials_bl","opensesame_codename","opensesame_version","orient_list_trial","ping","ping_trigger","ping_type","practice","repeat_cycle","response","round_decimals","sampler_backend","session_nr","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_color","target_high","target_loc","target_shape","time_block_loop","time_block_seq","time_block_settings","time_check_session","time_drift_correct","time_end_loop","time_end_seq","time_exp_settings","time_experiment","time_feedback","time_instructions","time_log_variables","time_logger","time_new_inline_script","time_new_pygaze_drift_correct","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_pygaze","time_start_recording","time_stop_recording","time_test_location","time_trial","time_trial_loop","time_trial_seq","title","total_blocks","tracker_dev","trial_type","trials_in_block","trigger","uniform_coordinates","update_blinks","width","x","y","toward","containsNaN","rept","repd","prevtar","pd","nt","pd_c","nt_c","tar_dist","dist_dist","prevHP","eegTar","repteeg","tarcounter","correcteeg"
"1",728.748800000176,728.748800000176,728.748800000176,1,1,"n",1,"['1', '8', '7', 'space']","n","#000000","no",311084.9633,1,"neutral","psycho","psycho","psycho",0,"uniform",1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,73.2296414732588,"Mon Oct  4 11:01:09 2021","The main experiment item","yes","red","no","None","circle",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",0,0,0,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-20.csv","psycho",2,1,1,"Lentiform Loewenfeld","3.3.8","['hori', 'hori', 'vert', 'vert', 'vert', 'hori', 'hori', 'vert']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",20,"even","green","no",7,"diamond",298524.9365,298535.8097,298535.8508,NA,308700.9528,NA,NA,59896.7462000001,3659.53259999969,NA,59896.7685999996,309373.9408,311741.6525,NA,NA,NA,NA,3659.61169999991,309027.5146,NA,NA,309373.9557,309369.6163,309373.9004,"New experiment",19,"[0]","dist_absent",56,89,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,"Right",NA,NA,NA,NA,"practice",999,"NR","in",0
"2",934.635899999645,1663.38469999982,1663.38469999982,1,1,"n",1,"['1', '8', '7', 'space']","n","#000000","no",311084.9633,1,"neutral","psycho","psycho","psycho",0,"uniform",0,0,0,0,NA,0,0,NA,0,0,0,0,1,1,NA,NA,NA,NA,0,0,0,NA,1,0,1,73.2296414732588,"Mon Oct  4 11:01:09 2021","The main experiment item","yes","red","no","None","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",1,0,1,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-20.csv","psycho",2,2,2,"Lentiform Loewenfeld","3.3.8","['vert', 'hori', 'vert', 'vert', 'hori', 'hori', 'vert', 'hori']","yes",109,"circles","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",20,"even","green","no",7,"circle",298524.9365,298535.8097,298535.8508,NA,308700.9528,NA,NA,59896.7462000001,3659.53259999969,NA,59896.7685999996,311781.0383,314669.7023,NA,NA,NA,NA,3659.61169999991,309027.5146,NA,NA,311781.0529,309369.6163,311780.9912,"New experiment",19,"[0]","dist_absent",56,89,"yes","yes",1680,NA,NA,NA,NA,"R","R","lp",NA,"Right",NA,NA,NA,NA,"practice",7,"NR","in",1
"3",798.809200000076,2462.1938999999,2462.1938999999,1,1,"n",1,"['1', '8', '7', 'space']","n","#000000","no",311084.9633,1,"neutral","psycho","psycho","psycho",0,"uniform",0,0,0,0,NA,0,0,NA,0,0,0,0,2,2,NA,NA,NA,NA,0,0,0,NA,2,0,2,73.2296414732588,"Mon Oct  4 11:01:09 2021","The main experiment item","yes","green","no","None","circle",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",2,0,2,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-20.csv","psycho",2,3,3,"Lentiform Loewenfeld","3.3.8","['hori', 'vert', 'vert', 'hori', 'vert', 'hori', 'vert', 'hori']","yes",109,"circles","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",20,"even","red","no",1,"diamond",298524.9365,298535.8097,298535.8508,NA,308700.9528,NA,NA,59896.7462000001,3659.53259999969,NA,59896.7685999996,314700.4357,317341.814,NA,NA,NA,NA,3659.61169999991,309027.5146,NA,NA,314700.4503,309369.6163,314700.3866,"New experiment",19,"[0]","dist_absent",56,29,"yes","yes",1680,NA,NA,NA,NA,"NR","R","lp",NA,"Left",NA,NA,NA,NA,"practice",7,"R","in",0
"4",1013.50880000019,3475.70270000008,3475.70270000008,1,1,"n",1,"['1', '8', '7', 'space']","n","#000000","no",311084.9633,1,"neutral","psycho","psycho","psycho",0,"uniform",0,0,0,0,NA,0,0,NA,0,0,0,0,3,3,NA,NA,NA,NA,0,0,0,NA,3,0,3,73.2296414732588,"Mon Oct  4 11:01:09 2021","The main experiment item","yes","green","no","4","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",3,0,3,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-20.csv","psycho",2,4,4,"Lentiform Loewenfeld","3.3.8","['vert', 'hori', 'hori', 'vert', 'vert', 'hori', 'vert', 'hori']","yes",109,"circles","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",20,"even","red","no",2,"circle",298524.9365,298535.8097,298535.8508,NA,308700.9528,NA,NA,59896.7462000001,3659.53259999969,NA,59896.7685999996,317372.2434,320157.7268,NA,NA,NA,NA,3659.61169999991,309027.5146,NA,NA,317372.2579,309369.6163,317372.1941,"New experiment",19,"[0]","dist_present",56,35,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,"Left",NA,"Left",NA,NA,"practice",1,"NR","in",0
"5",916.802799999889,4392.50549999997,4392.50549999997,1,1,"n",1,"['1', '8', '7', 'space']","n","#000000","no",311084.9633,1,"neutral","psycho","psycho","psycho",0,"uniform",0,0,0,0,NA,0,0,NA,0,0,0,0,4,4,NA,NA,NA,NA,0,0,0,NA,4,0,4,73.2296414732588,"Mon Oct  4 11:01:09 2021","The main experiment item","yes","green","no","None","circle",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",4,0,4,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-20.csv","psycho",2,5,5,"Lentiform Loewenfeld","3.3.8","['hori', 'vert', 'vert', 'hori', 'hori', 'vert', 'vert', 'hori']","yes",109,"diamond","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",20,"even","red","no",7,"diamond",298524.9365,298535.8097,298535.8508,NA,308700.9528,NA,NA,59896.7462000001,3659.53259999969,NA,59896.7685999996,320188.3234,322893.7224,NA,NA,NA,NA,3659.61169999991,309027.5146,NA,NA,320188.3377,309369.6163,320188.2738,"New experiment",19,"[0]","dist_absent",56,89,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,"Right",NA,NA,NA,NA,"practice",2,"NR","in",0
"6",1014.64290000009,5407.14840000006,5407.14840000006,2,2,"n",1,"['1', '8', '7', 'space']","n","#000000","no",311084.9633,1,"neutral","psycho","psycho","psycho",0,"uniform",1,0,0,0,NA,0,0,NA,0,0,0,0,5,5,NA,NA,NA,NA,0,0,0,NA,5,0,5,73.2296414732588,"Mon Oct  4 11:01:09 2021","The main experiment item","yes","red","no","4","circle",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",5,0,5,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-20.csv","psycho",2,6,6,"Lentiform Loewenfeld","3.3.8","['hori', 'hori', 'vert', 'hori', 'vert', 'vert', 'hori', 'vert']","yes",109,"diamond","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",20,"even","green","no",5,"diamond",298524.9365,298535.8097,298535.8508,NA,308700.9528,NA,NA,59896.7462000001,3659.53259999969,NA,59896.7685999996,322924.1575,326077.7371,NA,NA,NA,NA,3659.61169999991,309027.5146,NA,NA,322924.1718,309369.6163,322924.1089,"New experiment",19,"[0]","dist_present",56,65,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,"Right",NA,NA,NA,NA,"practice",7,"NR","in",0
"7",1534.06250000035,6941.21090000041,6941.21090000041,3,3,"n",1,"['1', '8', '7', 'space']","n","#000000","no",311084.9633,1,"neutral","psycho","psycho","psycho",0,"uniform",1,0,0,0,NA,0,0,NA,0,0,0,0,6,6,NA,NA,NA,NA,0,0,0,NA,6,0,6,73.2296414732588,"Mon Oct  4 11:01:09 2021","The main experiment item","yes","green","no","None","circle",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",6,0,6,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-20.csv","psycho",2,7,7,"Lentiform Loewenfeld","3.3.8","['hori', 'hori', 'hori', 'vert', 'vert', 'vert', 'hori', 'vert']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",20,"even","red","no",2,"diamond",298524.9365,298535.8097,298535.8508,NA,308700.9528,NA,NA,59896.7462000001,3659.53259999969,NA,59896.7685999996,326108.1677,329613.7464,NA,NA,NA,NA,3659.61169999991,309027.5146,NA,NA,326108.1823,309369.6163,326108.1176,"New experiment",19,"[0]","dist_absent",56,39,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,"Left",NA,"Left",NA,NA,"practice",5,"NR","in",1
"8",2000.15609999991,8941.36700000032,8941.36700000032,3,3,"n",1,"['1', '8', '7', 'space']","n","#000000","no",311084.9633,1,"neutral","psycho","psycho","psycho",0,"uniform",0,0,0,0,NA,0,0,NA,0,0,0,0,7,7,NA,NA,NA,NA,0,0,0,NA,7,0,7,73.2296414732588,"Mon Oct  4 11:01:09 2021","The main experiment item","yes","red","no","7","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",7,0,7,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-20.csv","psycho",2,8,8,"Lentiform Loewenfeld","3.3.8","['hori', 'hori', 'vert', 'vert', 'vert', 'hori', 'hori', 'vert']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",20,"even","green","no",5,"circle",298524.9365,298535.8097,298535.8508,NA,308700.9528,NA,NA,59896.7462000001,3659.53259999969,NA,59896.7685999996,329644.0705,333305.3316,NA,NA,NA,NA,3659.61169999991,309027.5146,NA,NA,329644.0846,309369.6163,329644.0221,"New experiment",19,"[0]","dist_present",56,68,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,NA,NA,NA,NA,NA,"practice",2,"NR","in",1
"9",1154.85690000013,10096.2239000004,10096.2239000004,3,3,"n",1,"['1', '8', '7', 'space']","n","#000000","no",311084.9633,1,"neutral","psycho","psycho","psycho",0,"uniform",0,0,0,0,NA,0,0,NA,0,0,0,0,8,8,NA,NA,NA,NA,0,0,0,NA,8,0,8,73.2296414732588,"Mon Oct  4 11:01:09 2021","The main experiment item","yes","red","no","1","circle",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",8,0,8,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-20.csv","psycho",2,9,9,"Lentiform Loewenfeld","3.3.8","['vert', 'hori', 'hori', 'hori', 'vert', 'vert', 'hori', 'vert']","no",209,"None","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",20,"even","green","no",6,"diamond",298524.9365,298535.8097,298535.8508,NA,308700.9528,NA,NA,59896.7462000001,3659.53259999969,NA,59896.7685999996,333335.4302,336413.7585,NA,NA,NA,NA,3659.61169999991,309027.5146,NA,NA,333335.4448,309369.6163,333335.381,"New experiment",19,"[0]","dist_present",56,72,"yes","yes",1680,NA,NA,NA,NA,"NR","NR","lp",NA,NA,NA,NA,NA,NA,"practice",5,"NR","in",0
"10",1590.44909999962,11686.6730000001,11686.6730000001,4,4,"n",1,"['1', '8', '7', 'space']","n","#000000","no",311084.9633,1,"neutral","psycho","psycho","psycho",0,"uniform",1,0,0,0,NA,0,0,NA,0,0,0,0,9,9,NA,NA,NA,NA,0,0,0,NA,9,0,9,73.2296414732588,"Mon Oct  4 11:01:09 2021","The main experiment item","yes","red","no","1","diamond",NA,"pinging_target_expectations 4.0.osexp","C:\Users\etp-cp-ping\Desktop\LocalPC-EXP",75,"no","mono","no",18,"no","white","no","yes",1050,NA,100,"psycho",9,0,9,"C:/Users/etp-cp-ping/Desktop/LocalPC-EXP/subject-20.csv","psycho",2,10,10,"Lentiform Loewenfeld","3.3.8","['hori', 'vert', 'hori', 'hori', 'vert', 'hori', 'vert', 'vert']","yes",109,"diamond","yes",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",20,"even","green","no",5,"circle",298524.9365,298535.8097,298535.8508,NA,308700.9528,NA,NA,59896.7462000001,3659.53259999969,NA,59896.7685999996,336444.1987,339965.8277,NA,NA,NA,NA,3659.61169999991,309027.5146,NA,NA,336444.213,309369.6163,336444.1455,"New experiment",19,"[0]","dist_present",56,62,"yes","yes",1680,NA,NA,NA,NA,"NR","R","lp",NA,NA,NA,NA,NA,NA,"practice",6,"NR","in",0
