"","X.2","X.1","X","RT","RT_bl","RT_tot","acc_bl","acc_tot","background","bidi","block_cnt","block_type","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","count_block_loop","count_block_seq","count_block_settings","count_check_session","count_drift_correct","count_exp_settings","count_experiment","count_feedback","count_instructions","count_log_variables","count_logger","count_new_pygaze_drift_correct","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_pygaze","count_start_recording","count_stop_recording","count_test_location","count_trial","count_trial_loop","count_trial_seq","d_eye","datetime","description","disable_garbage_collection","dist_color","dist_high","dist_loc","dist_shape","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","high_loc","high_prob_loc","keyboard_backend","live_row","live_row_block_loop","live_row_trial_loop","logfile","mouse_backend","nr_blinks","nr_trials","nr_trials_bl","opensesame_codename","opensesame_version","orient_list_trial","ping","ping_trigger","ping_type","practice","repeat_cycle","response","round_decimals","sampler_backend","session_nr","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_color","target_high","target_loc","target_shape","time_block_loop","time_block_seq","time_block_settings","time_check_session","time_drift_correct","time_exp_settings","time_experiment","time_feedback","time_instructions","time_log_variables","time_logger","time_new_pygaze_drift_correct","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_pygaze","time_start_recording","time_stop_recording","time_test_location","time_trial","time_trial_loop","time_trial_seq","title","total_blocks","trial_type","trials_in_block","trigger","uniform_coordinates","update_blinks","width","x","y","toward","containsNaN","rept","repd","prevtar","pd","nt","pd_c","nt_c","tar_dist","dist_dist","prevHP","eegTar","repteeg","tarcounter"
"1",57,57,57,1296.0883,1296.0883,80164.1238,1,39,"#000000","no",2,"bias","psycho","psycho","psycho",0,"uniform",1,0,1,1,NA,1,0,0,1,0,56,56,NA,NA,NA,0,1,1,NA,56,1,56,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","green","no","3","diamond",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",0,1,0,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",0,57,1,"Kafkaesque Koffka","3.2.8","['vert', 'hori', 'vert', 'vert', 'hori', 'hori', 'vert', 'hori']","no",200,"None","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","red","no",2,"circle",141500.7695,422721.1047,422721.2623,NA,432201.8775,37185.2591,1379.6852,335528.8452,37185.2902,433545.8966,436646.0795,NA,NA,NA,1380.7122,433034.2643,335019.1879,NA,433545.9143,433538.5439,433545.8446,"New experiment",19,"dist_present",56,34,"yes","yes",1680,-13.6089005128208,-5.10576628205108,"more toward","False","NR","NR","lp",NA,NA,NA,NA,-2,-3,"first",999,"NR","in"
"2",58,58,58,1856.5694,3152.6577,82020.6932,2,40,"#000000","no",2,"bias","psycho","psycho","psycho",0,"uniform",1,0,1,1,NA,1,0,0,1,0,57,57,NA,NA,NA,0,1,1,NA,57,1,57,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","green","no","2","diamond",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",1,1,1,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",0,58,2,"Kafkaesque Koffka","3.2.8","['vert', 'hori', 'vert', 'vert', 'hori', 'hori', 'hori', 'vert']","no",200,"None","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","red","no",5,"circle",141500.7695,422721.1047,422721.2623,NA,432201.8775,37185.2591,1379.6852,335528.8452,37185.2902,436676.5208,440406.139,NA,NA,NA,1380.7122,433034.2643,335019.1879,NA,436676.5371,433538.5439,436676.4695,"New experiment",19,"dist_present",56,63,"yes","yes",1680,-13.3404005128207,0.125858717948907,"more toward","False","NR","NR","lp",NA,NA,NA,NA,3,-2,"first",2,"NR","in"
"3",59,59,59,1327.7861,4480.4438,83348.4793,3,41,"#000000","no",2,"bias","psycho","psycho","psycho",0,"uniform",1,0,1,1,NA,1,0,0,1,0,58,58,NA,NA,NA,0,1,1,NA,58,1,58,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","red","yes","0","diamond",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",2,1,2,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",0,59,3,"Kafkaesque Koffka","3.2.8","['hori', 'hori', 'hori', 'hori', 'vert', 'vert', 'vert', 'vert']","yes",100,"circles","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","green","no",5,"circle",141500.7695,422721.1047,422721.2623,NA,432201.8775,37185.2591,1379.6852,335528.8452,37185.2902,440436.1895,443870.0612,NA,NA,NA,1380.7122,433034.2643,335019.1879,NA,440436.2062,433538.5439,440436.1365,"New experiment",19,"dist_present",56,61,"yes","yes",1680,-6.3046505128206,-6.5572662820511,"more toward","False","R","NR","lp",NA,"Right",NA,NA,3,0,"first",5,"NR","in"
"4",60,60,60,1247.3694,5727.8132,84595.8487,3,41,"#000000","no",2,"bias","psycho","psycho","psycho",0,"uniform",0,0,1,1,NA,1,0,0,1,0,59,59,NA,NA,NA,0,1,1,NA,59,1,59,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","green","no","7","circle",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",3,1,3,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",0,60,4,"Kafkaesque Koffka","3.2.8","['vert', 'hori', 'hori', 'vert', 'hori', 'vert', 'hori', 'vert']","yes",100,"diamond","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","red","no",3,"diamond",141500.7695,422721.1047,422721.2623,NA,432201.8775,37185.2591,1379.6852,335528.8452,37185.2902,443900.1331,447062.1745,NA,NA,NA,1380.7122,433034.2643,335019.1879,NA,443900.15,433538.5439,443900.0793,"New experiment",19,"dist_present",56,48,"yes","yes",1680,-11.4732755128208,-4.26914128205117,"more toward","False","NR","NR","lp",NA,NA,NA,NA,-3,1,"first",5,"R","in"
"5",61,61,61,1166.9276,6894.7408,85762.7763,4,42,"#000000","no",2,"bias","psycho","psycho","psycho",0,"uniform",1,0,1,1,NA,1,0,0,1,0,60,60,NA,NA,NA,0,1,1,NA,60,1,60,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","green","no","None","diamond",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",4,1,4,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",0,61,5,"Kafkaesque Koffka","3.2.8","['vert', 'vert', 'hori', 'hori', 'hori', 'hori', 'vert', 'vert']","yes",100,"diamond","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","red","no",4,"circle",141500.7695,422721.1047,422721.2623,NA,432201.8775,37185.2591,1379.6852,335528.8452,37185.2902,447092.3419,450326.4564,NA,NA,NA,1380.7122,433034.2643,335019.1879,NA,447092.358,433538.5439,447092.2884,"New experiment",19,"dist_absent",56,59,"yes","yes",1680,-4.35402551282062,-8.16676628205114,"more toward","False","NR","NR","lp",NA,NA,NA,NA,4,NA,"first",3,"NR","in"
"6",62,62,62,1027.4018,7922.1426,86790.1781,5,43,"#000000","no",2,"bias","psycho","psycho","psycho",0,"uniform",1,0,1,1,NA,1,0,0,1,0,61,61,NA,NA,NA,0,1,1,NA,61,1,61,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","red","yes","0","circle",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",5,1,5,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",0,62,6,"Kafkaesque Koffka","3.2.8","['hori', 'vert', 'hori', 'hori', 'vert', 'vert', 'hori', 'vert']","yes",100,"circles","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","green","no",7,"diamond",141500.7695,422721.1047,422721.2623,NA,432201.8775,37185.2591,1379.6852,335528.8452,37185.2902,450355.9538,453405.8911,NA,NA,NA,1380.7122,433034.2643,335019.1879,NA,450355.9706,433538.5439,450355.9008,"New experiment",19,"dist_present",56,81,"yes","yes",1680,-11.8162755128207,11.1837337179489,"more away","False","NR","NR","lp",NA,"Right",NA,NA,1,0,"first",4,"NR","in"
"7",63,63,63,2000.3002,9922.4428,88790.4783,5,43,"#000000","no",2,"bias","psycho","psycho","psycho",0,"uniform",0,0,1,1,NA,1,0,0,1,0,62,62,NA,NA,NA,0,1,1,NA,62,1,62,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","red","no","4","diamond",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",6,1,6,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",0,63,7,"Kafkaesque Koffka","3.2.8","['hori', 'vert', 'vert', 'hori', 'hori', 'vert', 'vert', 'hori']","yes",100,"circles","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","green","no",2,"circle",141500.7695,422721.1047,422721.2623,NA,432201.8775,37185.2591,1379.6852,335528.8452,37185.2902,453435.6424,457518.4981,NA,NA,NA,1380.7122,433034.2643,335019.1879,NA,453435.6592,433538.5439,453435.5889,"New experiment",19,"dist_present",56,35,"yes","yes",1680,-8.99415051282074,-3.08851628205109,"more toward","False","NR","NR","lp",NA,"Left",NA,"Left",-2,4,"first",7,"NR","in"
"8",64,64,64,1418.1319,11340.5747,90208.6102,6,44,"#000000","no",2,"bias","psycho","psycho","psycho",0,"uniform",1,0,1,1,NA,1,0,0,1,0,63,63,NA,NA,NA,0,1,1,NA,63,1,63,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","green","no","None","circle",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",7,1,7,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",0,64,8,"Kafkaesque Koffka","3.2.8","['vert', 'vert', 'hori', 'vert', 'vert', 'hori', 'hori', 'hori']","no",200,"None","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","red","yes",0,"diamond",141500.7695,422721.1047,422721.2623,NA,432201.8775,37185.2591,1379.6852,335528.8452,37185.2902,457548.3907,460789.9987,NA,NA,NA,1380.7122,433034.2643,335019.1879,NA,457548.4073,433538.5439,457548.3383,"New experiment",19,"dist_absent",56,19,"yes","yes",1680,-27.5726505128208,-6.25901628205113,"more toward","False","NR","NR","lp",NA,NA,NA,NA,0,NA,"first",2,"NR","ex"
"9",65,65,65,1086.6565,12427.2312,91295.2667,7,45,"#000000","no",2,"bias","psycho","psycho","psycho",0,"uniform",1,0,1,1,NA,1,0,0,1,0,64,64,NA,NA,NA,0,1,1,NA,64,1,64,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","red","yes","0","circle",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",8,1,8,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",0,65,9,"Kafkaesque Koffka","3.2.8","['hori', 'hori', 'vert', 'vert', 'hori', 'hori', 'vert', 'vert']","yes",100,"diamond","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","green","no",4,"diamond",141500.7695,422721.1047,422721.2623,NA,432201.8775,37185.2591,1379.6852,335528.8452,37185.2902,460820.3237,463678.0791,NA,NA,NA,1380.7122,433034.2643,335019.1879,NA,460820.3405,433538.5439,460820.2703,"New experiment",19,"dist_present",56,51,"yes","yes",1680,-43.1459005128208,7.3873587179489,"more away","False","NR","NR","hp",NA,NA,NA,NA,4,0,"first",0,"NR","in"
"10",66,66,66,1280.911,13708.1422,92576.1777,8,46,"#000000","no",2,"bias","psycho","psycho","psycho",0,"uniform",1,0,1,1,NA,1,0,0,1,0,65,65,NA,NA,NA,0,1,1,NA,65,1,65,82.99359367,"12/14/20 12:50:32","The main experiment item","yes","red","no","1","diamond",NA,"pinging_target_expectations.osexp","C:\Users\etp-cp-ping\Desktop\DATA\data","no","mono","no",18,"no","white","no","yes",1050,NA,0,"psycho",9,1,9,"C:/Users/etp-cp-ping/Desktop/DATA/data/subject-2.csv","psycho",0,66,10,"Kafkaesque Koffka","3.2.8","['hori', 'hori', 'hori', 'hori', 'vert', 'vert', 'vert', 'vert']","yes",100,"circles","no",0,NA,2,"legacy",NA,1024,2,48000,-16,"experiment",2,"even","green","yes",0,"circle",141500.7695,422721.1047,422721.2623,NA,432201.8775,37185.2591,1379.6852,335528.8452,37185.2902,463705.8265,466902.0947,NA,NA,NA,1380.7122,433034.2643,335019.1879,NA,463705.8432,433538.5439,463705.773,"New experiment",19,"dist_present",56,12,"yes","yes",1680,-2.20665051282059,10.0508587179489,"more away","False","NR","NR","lp","Left",NA,NA,NA,0,-1,"first",4,"NR","ex"
